Abbreviation	Subsystem_new	removed_duplicate_subsystem	evidence
r_0115	sce00220  arginine biosynthesis 	sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0116	sce00740  riboflavin metabolism 	sce04111 Cell cycle – yeast  sce00730 Thiamine metabolism	ito980
r_0117	sce00640  propanoate metabolism 		
r_0118	sce00220  arginine biosynthesis 	sce01210 2-Oxocarboxylic acid metabolism	ito980
r_0119	sce00770  pantothenate and coa biosynthesis 		ito980 and imm904
r_0120	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome   sce01040 Biosynthesis of unsaturated fatty acids	ito980
r_0121	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome   sce01040 Biosynthesis of unsaturated fatty acids	ito980
r_0122	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome   sce01040 Biosynthesis of unsaturated fatty acids	ito980
r_0123	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome   sce01040 Biosynthesis of unsaturated fatty acids	ito980
r_0124	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome   sce01040 Biosynthesis of unsaturated fatty acids	ito980
r_0125	sce00071  fatty acid degradation 	sce01212 Fatty acid metabolism   sce04146 Peroxisome   sce01040 Biosynthesis of unsaturated fatty acids	ito980
r_0126	sce00100  steroid biosynthesis 		
r_0127	sce00100  steroid biosynthesis 		
r_0128	sce00100  steroid biosynthesis 		
r_0129	sce00100  steroid biosynthesis 		
